PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
14593,2019-01-02,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,0,,,,,,,,,2019-01-17,,,,,1,6,62,1,154.23000,158.85001,157.92000,37066356,0.001141,157.91000,157.92999,4729803,4,4,154.89000,250910,0.001141,0.001796,0.001791,0.017126,0.017105,0.001269
14593,2019-01-03,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,142.00000,145.72000,142.19000,91373695,-0.099607,142.08000,142.09000,4729803,4,4,143.98000,670747,-0.099607,-0.021043,-0.021229,-0.009454,-0.009493,-0.024757
14593,2019-01-04,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,143.80000,148.54990,148.25999,58603001,0.042689,148.25000,148.25999,4729803,4,4,144.53000,379621,0.042689,0.033410,0.033409,0.030804,0.030780,0.034336
14593,2019-01-07,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,145.89999,148.83000,147.92999,54770364,-0.002226,147.83000,147.89000,4729803,4,4,148.70000,350707,-0.002226,0.009202,0.009196,0.016144,0.016133,0.007010
14593,2019-01-08,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,148.52000,151.82001,150.75000,41026062,0.019063,150.75000,150.78000,4729803,4,4,149.56000,274439,0.019063,0.010269,0.010248,0.010358,0.010339,0.009695
14593,2019-01-09,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,149.63000,154.53000,153.31000,45098881,0.016982,153.31000,153.32001,4729803,4,4,151.28999,304547,0.016982,0.006199,0.005958,0.010306,0.010264,0.004098
14593,2019-01-10,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,150.86000,153.97000,153.80000,35778275,0.003196,153.80000,153.81000,4729803,4,4,152.50000,203651,0.003196,0.004474,0.004468,0.002611,0.002573,0.004518
14593,2019-01-11,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,151.50999,153.70000,152.28999,27017204,-0.009818,152.28000,152.30000,4729803,4,4,152.88000,175856,-0.009818,-0.000152,-0.000163,0.001293,0.001246,-0.000146
14593,2019-01-14,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,149.22000,151.27000,150.00000,32468877,-0.015037,149.98000,149.99001,4729803,4,4,150.85001,203742,-0.015037,-0.005465,-0.005554,-0.005852,-0.005991,-0.005258
14593,2019-01-15,,11,3,3571,03783310,AAPL,APPLE INC,,AAPL,334220,Q,A,R,7,8,3,3571,03783310,,,,,,,,,,,,,,,,,,,,,,,,,,150.05000,153.39000,153.07001,28707624,0.020467,153.03999,153.05000,4729803,4,4,150.27000,180637,0.020467,0.009839,0.009811,0.006546,0.006491,0.010722
